URL,Name,Submittor(s),Submittor parties,VVD,PVV,CDA,D66,GroenLinks,SP,PvdA,ChristenUnie,PvdD,50PLUS,DENK,SGP,FvD,Krol,Van Kooten-Arissen
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25823&did=2020D54264,de samenwerking in buitenlands beleid en veiligheid bestendigen,"['Bram van Ojik', 'Lilianne Ploumen', 'Achraf Bouali']","['GroenLinks', 'Partij van de Arbeid', 'Democraten 66']",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25817&did=2020D54258,de inzet van de EU binnen de partnerschapsraad,"['Roelof Bisschop', 'Renske Leijten']","['Staatkundig Gereformeerde Partij', 'Socialistische Partij']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25826&did=2020D54267,herstel van het democratisch deficit,"['Pieter Omtzigt', 'Stieneke van der Graaf']","['Christen-Democratisch Appèl', 'ChristenUnie']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25827&did=2020D54268,een helpdesk voor uitleg van verdragsbepalingen,"['Pieter Omtzigt', 'Achraf Bouali', 'Stieneke van der Graaf']","['Christen-Democratisch Appèl', 'Democraten 66', 'ChristenUnie']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25819&did=2020D54260,een voorbehoud van voorlopige inwerkingtreding bij gedeelde en ondersteunende bevoegdheden,"['Roelof Bisschop', 'Renske Leijten']","['Staatkundig Gereformeerde Partij', 'Socialistische Partij']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25820&did=2020D54261,geen precedentwerking van het EU-only-verdrag,"['Stieneke van der Graaf', 'Pieter Omtzigt']","['ChristenUnie', 'Christen-Democratisch Appèl']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25816&did=2020D54257,betrokkenheid van nationale parlementen bij vormgeving van het arbitragemechanisme,"['Roelof Bisschop', 'Renske Leijten']","['Staatkundig Gereformeerde Partij', 'Socialistische Partij']",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25825&did=2020D54266,de uitwisseling van studenten,"['Achraf Bouali', 'Lilianne Ploumen', 'Bram van Ojik']","['Democraten 66', 'Partij van de Arbeid', 'GroenLinks']",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25822&did=2020D54263,formeel bewijs van toegang tot de Britse wateren,"['Stieneke van der Graaf', 'Carla Dik-Faber', 'Pieter Omtzigt', 'André Bosman']","['ChristenUnie', 'ChristenUnie', 'Christen-Democratisch Appèl', 'Volkspartij voor Vrijheid en Democratie']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25824&did=2020D54265,diensten,"['Achraf Bouali', 'Stieneke van der Graaf', 'Pieter Omtzigt', 'Gerrit Jan van Otterloo']","['Democraten 66', 'ChristenUnie', 'Christen-Democratisch Appèl', '50PLUS']",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25821&did=2020D54262,Nederlandse vissers compenseren met Europese middelen,"['Stieneke van der Graaf', 'Carla Dik-Faber', 'Pieter Omtzigt', 'André Bosman', 'Gerrit Jan van Otterloo', 'Lilianne Ploumen']","['ChristenUnie', 'ChristenUnie', 'Christen-Democratisch Appèl', 'Volkspartij voor Vrijheid en Democratie', '50PLUS', 'Partij van de Arbeid']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25818&did=2020D54259,financiële compensatie voor de Nederlandse visserij,['Roelof Bisschop'],['Staatkundig Gereformeerde Partij'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25815&did=2020D54256,een nexit afkondigen,"['Emiel van Dijk', 'Geert Wilders']","['Partij voor de Vrijheid', 'Partij voor de Vrijheid']",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25422&did=2020D53367,opname van vaccingegevens in een database,['Farid Azarkan'],['DENK'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25423&did=2020D53368,opname van vaccingegevens in een database,['Farid Azarkan'],['DENK'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25421&did=2020D53366,70-plussers met comorbiditeit toevoegen aan de twee eerste groepen die gevaccineerd worden,['Geert Wilders'],['Partij voor de Vrijheid'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25425&did=2020D53370,met een open blik kijken naar de toepassing van het middel Ivermectine,"['Wybren van Haga', 'Thierry Baudet']","['Forum voor Democratie', 'Forum voor Democratie']",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25420&did=2020D53365,nog dit jaar aanvangen met vrijwillige vaccinatie,['Geert Wilders'],['Partij voor de Vrijheid'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
